user_id,name,department,year,enrolled_courses,usual_patterns
u_011,Robert Hill,EE,1,"[""CS150"", ""Bio350"", ""Economics360"", ""Bio181"", ""Economics126""]","{""Food Court"": {""days"": [""Sun"", ""Fri"", ""Wed"", ""Thu""], ""usual_time"": ""12:30"", ""duration_min"": 30}, ""Gymnasium"": {""days"": [""Mon"", ""Fri""], ""usual_time"": ""19:00"", ""duration_min"": 90}, ""Computer Lab A"": {""days"": [""Thu"", ""Mon"", ""Fri""], ""usual_time"": ""10:00"", ""duration_min"": 90}, ""Computer Lab B"": {""days"": [""Wed"", ""Thu""], ""usual_time"": ""09:00"", ""duration_min"": 90}}"
u_012,Lisa Drake,CE,2,"[""CS379"", ""CS221"", ""Economics360"", ""ME426""]","{""Computer Lab B"": {""days"": [""Fri"", ""Mon""], ""usual_time"": ""09:00"", ""duration_min"": 45}, ""Student Center"": {""days"": [""Thu"", ""Mon"", ""Sat"", ""Tue"", ""Sun""], ""usual_time"": ""11:00"", ""duration_min"": 60}}"
u_013,Roberto Black MD,Physics,3,"[""CS491"", ""Bio308"", ""ME453"", ""Economics360"", ""Economics495"", ""CE410""]","{""Student Center"": {""days"": [""Mon"", ""Sun""], ""usual_time"": ""11:00"", ""duration_min"": 45}, ""Central Cafeteria"": {""days"": [""Mon"", ""Sun""], ""usual_time"": ""08:30"", ""duration_min"": 30}, ""Computer Lab B"": {""days"": [""Sun"", ""Fri"", ""Tue"", ""Wed""], ""usual_time"": ""14:00"", ""duration_min"": 60}}"
u_014,Charles Rios,ME,3,"[""Economics360"", ""Chemistry320"", ""Bio181"", ""CE445"", ""CE410"", ""ME386""]","{""Central Cafeteria"": {""days"": [""Sat"", ""Thu"", ""Mon"", ""Sun"", ""Fri""], ""usual_time"": ""08:30"", ""duration_min"": 30}, ""Student Center"": {""days"": [""Sun"", ""Mon""], ""usual_time"": ""10:00"", ""duration_min"": 60}, ""Gymnasium"": {""days"": [""Mon"", ""Tue"", ""Wed""], ""usual_time"": ""07:00"", ""duration_min"": 60}}"
u_015,George Gross,EE,1,"[""Economics495"", ""CE107"", ""Economics126"", ""CE461"", ""ME481""]","{""Science Library"": {""days"": [""Mon"", ""Fri"", ""Tue""], ""usual_time"": ""21:00"", ""duration_min"": 120}, ""Computer Lab A"": {""days"": [""Thu"", ""Fri""], ""usual_time"": ""09:00"", ""duration_min"": 60}}"
u_016,Natalie Butler,ME,2,"[""Bio181"", ""Chemistry274"", ""ME163"", ""Chemistry213"", ""ME426""]","{""Computer Lab A"": {""days"": [""Sun"", ""Fri"", ""Thu"", ""Wed""], ""usual_time"": ""14:00"", ""duration_min"": 45}, ""Computer Lab B"": {""days"": [""Sat"", ""Sun""], ""usual_time"": ""11:00"", ""duration_min"": 45}}"
u_017,Marvin Weber,Math,4,"[""EE180"", ""Economics162"", ""Economics301"", ""CS379"", ""Bio122""]","{""Student Center"": {""days"": [""Wed"", ""Sat"", ""Tue"", ""Thu"", ""Mon""], ""usual_time"": ""12:00"", ""duration_min"": 90}, ""Gymnasium"": {""days"": [""Thu"", ""Mon"", ""Fri"", ""Wed"", ""Sat""], ""usual_time"": ""08:00"", ""duration_min"": 60}, ""Main Library"": {""days"": [""Mon"", ""Sun"", ""Wed"", ""Fri"", ""Thu""], ""usual_time"": ""16:00"", ""duration_min"": 180}, ""Indoor Sports Complex"": {""days"": [""Thu"", ""Sun"", ""Wed""], ""usual_time"": ""19:00"", ""duration_min"": 45}, ""Food Court"": {""days"": [""Fri"", ""Sat"", ""Sun""], ""usual_time"": ""12:30"", ""duration_min"": 45}}"
u_018,Amy Martinez,Physics,2,"[""Bio308"", ""ME481"", ""Chemistry106"", ""Chemistry274"", ""CS464""]","{""Computer Lab B"": {""days"": [""Fri"", ""Wed"", ""Tue""], ""usual_time"": ""15:00"", ""duration_min"": 60}, ""Main Library"": {""days"": [""Mon"", ""Wed""], ""usual_time"": ""16:00"", ""duration_min"": 120}, ""Computer Lab A"": {""days"": [""Tue"", ""Sun"", ""Wed"", ""Sat"", ""Thu""], ""usual_time"": ""15:00"", ""duration_min"": 45}, ""Gymnasium"": {""days"": [""Tue"", ""Wed"", ""Thu"", ""Fri""], ""usual_time"": ""06:00"", ""duration_min"": 45}, ""Science Library"": {""days"": [""Sat"", ""Thu"", ""Mon""], ""usual_time"": ""21:00"", ""duration_min"": 180}}"
u_019,Connor Martinez,MBA,3,"[""CE153"", ""Physics234"", ""Economics333"", ""Economics301""]","{""Gymnasium"": {""days"": [""Mon"", ""Thu"", ""Sun"", ""Sat""], ""usual_time"": ""08:00"", ""duration_min"": 45}, ""Computer Lab B"": {""days"": [""Sun"", ""Fri"", ""Thu"", ""Tue""], ""usual_time"": ""14:00"", ""duration_min"": 45}, ""Central Cafeteria"": {""days"": [""Sun"", ""Tue""], ""usual_time"": ""19:00"", ""duration_min"": 45}, ""Science Library"": {""days"": [""Tue"", ""Sat"", ""Fri"", ""Sun"", ""Wed""], ""usual_time"": ""19:00"", ""duration_min"": 180}}"
u_020,Gregory Bennett,ME,2,"[""Economics360"", ""Bio181"", ""CE445"", ""Economics162"", ""Chemistry106""]","{""Food Court"": {""days"": [""Mon"", ""Fri"", ""Wed"", ""Thu""], ""usual_time"": ""08:30"", ""duration_min"": 60}, ""Indoor Sports Complex"": {""days"": [""Tue"", ""Wed""], ""usual_time"": ""19:00"", ""duration_min"": 60}, ""Central Cafeteria"": {""days"": [""Mon"", ""Tue"", ""Sun"", ""Fri"", ""Sat""], ""usual_time"": ""19:00"", ""duration_min"": 30}}"
u_021,Gary Rosales,EE,3,"[""CS491"", ""Economics333"", ""Physics409"", ""Bio181""]","{""Food Court"": {""days"": [""Wed"", ""Thu"", ""Mon"", ""Sat""], ""usual_time"": ""08:30"", ""duration_min"": 60}, ""Main Library"": {""days"": [""Sun"", ""Sat"", ""Fri"", ""Mon""], ""usual_time"": ""18:00"", ""duration_min"": 60}, ""Student Center"": {""days"": [""Wed"", ""Thu"", ""Mon"", ""Sat"", ""Sun""], ""usual_time"": ""10:00"", ""duration_min"": 45}, ""Gymnasium"": {""days"": [""Tue"", ""Fri""], ""usual_time"": ""17:00"", ""duration_min"": 90}}"
u_022,Sonya Williams,CS,3,"[""CE410"", ""Economics301"", ""Bio122"", ""Economics360""]","{""Indoor Sports Complex"": {""days"": [""Sun"", ""Sat"", ""Thu""], ""usual_time"": ""17:00"", ""duration_min"": 45}, ""Central Cafeteria"": {""days"": [""Sun"", ""Wed"", ""Tue""], ""usual_time"": ""19:00"", ""duration_min"": 60}, ""Main Library"": {""days"": [""Mon"", ""Wed"", ""Sat"", ""Tue""], ""usual_time"": ""19:00"", ""duration_min"": 180}}"
u_023,Russell Lewis,Economics,1,"[""CS150"", ""ME163"", ""CS464"", ""CS379"", ""CS491"", ""CE461""]","{""Computer Lab B"": {""days"": [""Sun"", ""Fri""], ""usual_time"": ""09:00"", ""duration_min"": 45}, ""Indoor Sports Complex"": {""days"": [""Fri"", ""Thu"", ""Sun"", ""Wed""], ""usual_time"": ""20:00"", ""duration_min"": 60}, ""Gymnasium"": {""days"": [""Sat"", ""Mon"", ""Tue"", ""Sun""], ""usual_time"": ""19:00"", ""duration_min"": 90}, ""Computer Lab A"": {""days"": [""Sun"", ""Tue""], ""usual_time"": ""12:00"", ""duration_min"": 60}, ""Central Cafeteria"": {""days"": [""Sun"", ""Tue"", ""Sat"", ""Thu""], ""usual_time"": ""19:00"", ""duration_min"": 45}}"
u_024,Malik Hansen,CE,4,"[""Economics495"", ""CS150"", ""Bio308"", ""Economics162"", ""CS491"", ""CE107""]","{""Computer Lab A"": {""days"": [""Wed"", ""Sat"", ""Fri""], ""usual_time"": ""15:00"", ""duration_min"": 60}, ""Indoor Sports Complex"": {""days"": [""Wed"", ""Tue"", ""Thu""], ""usual_time"": ""18:00"", ""duration_min"": 90}}"
u_025,Robert Moore,EE,3,"[""CE461"", ""Chemistry106"", ""Chemistry213"", ""Economics360"", ""Economics126"", ""Economics333""]","{""Gymnasium"": {""days"": [""Wed"", ""Sun""], ""usual_time"": ""19:00"", ""duration_min"": 90}, ""Computer Lab A"": {""days"": [""Mon"", ""Wed""], ""usual_time"": ""16:00"", ""duration_min"": 90}, ""Computer Lab B"": {""days"": [""Fri"", ""Sat"", ""Wed""], ""usual_time"": ""16:00"", ""duration_min"": 60}, ""Food Court"": {""days"": [""Thu"", ""Mon"", ""Sun"", ""Fri""], ""usual_time"": ""12:30"", ""duration_min"": 60}}"
u_026,Timothy Barnes,CS,1,"[""ME386"", ""Chemistry320"", ""ME163"", ""Economics126"", ""CE410"", ""CS221""]","{""Science Library"": {""days"": [""Mon"", ""Sun"", ""Wed""], ""usual_time"": ""19:00"", ""duration_min"": 90}, ""Central Cafeteria"": {""days"": [""Mon"", ""Thu""], ""usual_time"": ""19:00"", ""duration_min"": 30}, ""Food Court"": {""days"": [""Sat"", ""Mon""], ""usual_time"": ""12:30"", ""duration_min"": 30}, ""Computer Lab B"": {""days"": [""Mon"", ""Wed"", ""Thu"", ""Tue"", ""Fri""], ""usual_time"": ""16:00"", ""duration_min"": 90}}"
u_027,Michael Evans,Economics,4,"[""Economics301"", ""EE180"", ""ME453"", ""Physics409"", ""Economics360"", ""Economics162""]","{""Science Library"": {""days"": [""Sun"", ""Sat"", ""Mon"", ""Wed"", ""Fri""], ""usual_time"": ""18:00"", ""duration_min"": 90}, ""Computer Lab A"": {""days"": [""Tue"", ""Sun"", ""Wed"", ""Fri""], ""usual_time"": ""10:00"", ""duration_min"": 90}, ""Indoor Sports Complex"": {""days"": [""Thu"", ""Sun"", ""Tue"", ""Fri""], ""usual_time"": ""17:00"", ""duration_min"": 45}}"
u_028,Andrew Miller,ME,1,"[""Chemistry213"", ""Bio350"", ""ME453"", ""Chemistry106"", ""CE153"", ""CE107""]","{""Food Court"": {""days"": [""Wed"", ""Tue"", ""Mon""], ""usual_time"": ""08:30"", ""duration_min"": 60}, ""Computer Lab A"": {""days"": [""Mon"", ""Fri""], ""usual_time"": ""12:00"", ""duration_min"": 60}}"
u_029,Nicole Diaz,Math,4,"[""CE153"", ""Chemistry320"", ""Economics301"", ""ME163""]","{""Gymnasium"": {""days"": [""Tue"", ""Fri"", ""Sat"", ""Wed""], ""usual_time"": ""06:00"", ""duration_min"": 60}, ""Main Library"": {""days"": [""Wed"", ""Thu""], ""usual_time"": ""20:00"", ""duration_min"": 90}, ""Indoor Sports Complex"": {""days"": [""Sat"", ""Thu"", ""Wed"", ""Fri"", ""Sun""], ""usual_time"": ""08:00"", ""duration_min"": 90}, ""Computer Lab A"": {""days"": [""Sun"", ""Tue"", ""Sat"", ""Thu"", ""Wed""], ""usual_time"": ""11:00"", ""duration_min"": 45}, ""Science Library"": {""days"": [""Wed"", ""Thu""], ""usual_time"": ""16:00"", ""duration_min"": 90}}"
u_030,Marie Morales,EE,4,"[""CS379"", ""ME453"", ""Bio122"", ""Chemistry213""]","{""Computer Lab B"": {""days"": [""Fri"", ""Wed""], ""usual_time"": ""16:00"", ""duration_min"": 90}, ""Indoor Sports Complex"": {""days"": [""Fri"", ""Sun"", ""Mon"", ""Thu"", ""Wed""], ""usual_time"": ""08:00"", ""duration_min"": 60}, ""Science Library"": {""days"": [""Sun"", ""Wed"", ""Sat""], ""usual_time"": ""19:00"", ""duration_min"": 90}}"
u_031,Lisa Fernandez,Physics,1,"[""Chemistry213"", ""Chemistry274"", ""ME453"", ""Economics360"", ""CE445"", ""ME426""]","{""Indoor Sports Complex"": {""days"": [""Wed"", ""Sun"", ""Sat"", ""Tue"", ""Thu""], ""usual_time"": ""08:00"", ""duration_min"": 90}, ""Student Center"": {""days"": [""Tue"", ""Fri""], ""usual_time"": ""13:00"", ""duration_min"": 90}, ""Science Library"": {""days"": [""Sat"", ""Mon"", ""Sun"", ""Fri""], ""usual_time"": ""18:00"", ""duration_min"": 180}}"
u_032,Julia Taylor,MBA,3,"[""ME481"", ""CS464"", ""ME386"", ""Bio122"", ""Physics341""]","{""Computer Lab B"": {""days"": [""Wed"", ""Mon""], ""usual_time"": ""12:00"", ""duration_min"": 45}, ""Central Cafeteria"": {""days"": [""Sat"", ""Thu"", ""Wed""], ""usual_time"": ""12:30"", ""duration_min"": 60}, ""Indoor Sports Complex"": {""days"": [""Mon"", ""Sun"", ""Wed"", ""Sat"", ""Fri""], ""usual_time"": ""18:00"", ""duration_min"": 60}, ""Gymnasium"": {""days"": [""Mon"", ""Sat"", ""Wed"", ""Sun"", ""Fri""], ""usual_time"": ""06:00"", ""duration_min"": 90}}"
u_033,Dennis Lawson,MBA,2,"[""CE445"", ""Economics333"", ""Physics341"", ""Economics301"", ""Bio181""]","{""Gymnasium"": {""days"": [""Tue"", ""Sat"", ""Wed""], ""usual_time"": ""18:00"", ""duration_min"": 60}, ""Computer Lab B"": {""days"": [""Mon"", ""Tue"", ""Fri"", ""Thu"", ""Wed""], ""usual_time"": ""13:00"", ""duration_min"": 90}, ""Indoor Sports Complex"": {""days"": [""Sun"", ""Thu"", ""Fri""], ""usual_time"": ""17:00"", ""duration_min"": 90}, ""Student Center"": {""days"": [""Tue"", ""Thu""], ""usual_time"": ""16:00"", ""duration_min"": 90}}"
u_034,Michelle Barton,Chemistry,2,"[""CS464"", ""Economics126"", ""CS379"", ""CE153""]","{""Science Library"": {""days"": [""Sun"", ""Tue"", ""Mon"", ""Wed"", ""Sat""], ""usual_time"": ""19:00"", ""duration_min"": 90}, ""Central Cafeteria"": {""days"": [""Fri"", ""Wed"", ""Tue""], ""usual_time"": ""08:30"", ""duration_min"": 30}, ""Indoor Sports Complex"": {""days"": [""Sat"", ""Tue"", ""Fri"", ""Wed""], ""usual_time"": ""18:00"", ""duration_min"": 90}, ""Main Library"": {""days"": [""Mon"", ""Thu"", ""Tue"", ""Fri""], ""usual_time"": ""20:00"", ""duration_min"": 180}}"
u_035,Michael Miller,Bio,4,"[""Bio181"", ""ME481"", ""CS150"", ""Chemistry320"", ""Chemistry213""]","{""Science Library"": {""days"": [""Mon"", ""Wed"", ""Sun""], ""usual_time"": ""19:00"", ""duration_min"": 180}, ""Student Center"": {""days"": [""Thu"", ""Sun"", ""Mon""], ""usual_time"": ""10:00"", ""duration_min"": 45}}"
u_036,Mark Erickson,Physics,3,"[""Chemistry106"", ""Economics220"", ""Economics301"", ""Economics162"", ""Bio122""]","{""Food Court"": {""days"": [""Sat"", ""Thu""], ""usual_time"": ""19:00"", ""duration_min"": 60}, ""Main Library"": {""days"": [""Thu"", ""Tue""], ""usual_time"": ""16:00"", ""duration_min"": 180}, ""Student Center"": {""days"": [""Sun"", ""Sat"", ""Wed"", ""Fri"", ""Thu""], ""usual_time"": ""14:00"", ""duration_min"": 45}, ""Central Cafeteria"": {""days"": [""Fri"", ""Sun"", ""Wed"", ""Sat""], ""usual_time"": ""08:30"", ""duration_min"": 30}}"
u_037,Anthony Weiss,CE,1,"[""Economics220"", ""CS464"", ""Chemistry274"", ""Physics341"", ""CS491""]","{""Main Library"": {""days"": [""Fri"", ""Sun"", ""Tue"", ""Wed""], ""usual_time"": ""17:00"", ""duration_min"": 60}, ""Gymnasium"": {""days"": [""Fri"", ""Sun"", ""Wed"", ""Tue""], ""usual_time"": ""19:00"", ""duration_min"": 90}}"
u_038,Spencer Roman,Economics,2,"[""Chemistry106"", ""Physics234"", ""Bio181"", ""CS221""]","{""Science Library"": {""days"": [""Tue"", ""Sat""], ""usual_time"": ""16:00"", ""duration_min"": 180}, ""Gymnasium"": {""days"": [""Sun"", ""Wed"", ""Fri"", ""Mon"", ""Tue""], ""usual_time"": ""19:00"", ""duration_min"": 60}, ""Computer Lab A"": {""days"": [""Mon"", ""Sun"", ""Sat"", ""Fri""], ""usual_time"": ""11:00"", ""duration_min"": 45}, ""Food Court"": {""days"": [""Wed"", ""Fri"", ""Sun"", ""Thu""], ""usual_time"": ""19:00"", ""duration_min"": 60}}"
u_039,Anthony Sanders,EE,4,"[""ME426"", ""CS464"", ""CS379"", ""Bio308"", ""ME453"", ""EE180""]","{""Main Library"": {""days"": [""Fri"", ""Wed"", ""Thu"", ""Sat"", ""Tue""], ""usual_time"": ""16:00"", ""duration_min"": 90}, ""Gymnasium"": {""days"": [""Thu"", ""Sat""], ""usual_time"": ""18:00"", ""duration_min"": 45}, ""Science Library"": {""days"": [""Tue"", ""Thu""], ""usual_time"": ""17:00"", ""duration_min"": 180}, ""Food Court"": {""days"": [""Mon"", ""Fri"", ""Tue""], ""usual_time"": ""08:30"", ""duration_min"": 30}, ""Student Center"": {""days"": [""Sun"", ""Wed""], ""usual_time"": ""14:00"", ""duration_min"": 90}}"
u_040,Michael Alvarado,CS,4,"[""CS491"", ""CE410"", ""Chemistry213"", ""Bio122"", ""ME481""]","{""Student Center"": {""days"": [""Mon"", ""Thu"", ""Fri""], ""usual_time"": ""10:00"", ""duration_min"": 45}, ""Gymnasium"": {""days"": [""Sat"", ""Tue"", ""Thu"", ""Fri""], ""usual_time"": ""18:00"", ""duration_min"": 60}, ""Main Library"": {""days"": [""Mon"", ""Thu""], ""usual_time"": ""20:00"", ""duration_min"": 120}, ""Indoor Sports Complex"": {""days"": [""Thu"", ""Tue"", ""Sat"", ""Sun""], ""usual_time"": ""18:00"", ""duration_min"": 60}, ""Computer Lab A"": {""days"": [""Mon"", ""Sun"", ""Fri"", ""Wed"", ""Sat""], ""usual_time"": ""14:00"", ""duration_min"": 90}}"
u_041,Caroline Foster,Physics,4,"[""Economics495"", ""CS464"", ""ME426"", ""CS379"", ""Physics341"", ""CE410""]","{""Indoor Sports Complex"": {""days"": [""Wed"", ""Mon"", ""Sun"", ""Thu""], ""usual_time"": ""06:00"", ""duration_min"": 60}, ""Computer Lab B"": {""days"": [""Wed"", ""Thu"", ""Sat""], ""usual_time"": ""09:00"", ""duration_min"": 45}, ""Main Library"": {""days"": [""Wed"", ""Sat"", ""Sun"", ""Tue""], ""usual_time"": ""20:00"", ""duration_min"": 90}, ""Food Court"": {""days"": [""Mon"", ""Wed"", ""Tue""], ""usual_time"": ""19:00"", ""duration_min"": 60}, ""Computer Lab A"": {""days"": [""Sat"", ""Fri"", ""Sun"", ""Wed"", ""Thu""], ""usual_time"": ""15:00"", ""duration_min"": 60}}"
u_042,Nathaniel Sanchez,Bio,1,"[""Economics126"", ""Physics341"", ""CS150"", ""CE153"", ""Chemistry274"", ""CE107""]","{""Indoor Sports Complex"": {""days"": [""Tue"", ""Mon"", ""Wed"", ""Sun""], ""usual_time"": ""19:00"", ""duration_min"": 45}, ""Food Court"": {""days"": [""Sat"", ""Tue"", ""Thu""], ""usual_time"": ""19:00"", ""duration_min"": 45}, ""Student Center"": {""days"": [""Sun"", ""Mon""], ""usual_time"": ""11:00"", ""duration_min"": 90}, ""Science Library"": {""days"": [""Sun"", ""Sat"", ""Wed""], ""usual_time"": ""18:00"", ""duration_min"": 90}}"
u_043,Angela Reed,Math,2,"[""CS464"", ""Physics409"", ""CE107"", ""EE180"", ""Bio308"", ""CS379""]","{""Computer Lab B"": {""days"": [""Sun"", ""Thu"", ""Sat"", ""Wed""], ""usual_time"": ""10:00"", ""duration_min"": 45}, ""Science Library"": {""days"": [""Thu"", ""Wed"", ""Fri""], ""usual_time"": ""18:00"", ""duration_min"": 180}, ""Main Library"": {""days"": [""Sat"", ""Wed"", ""Mon""], ""usual_time"": ""21:00"", ""duration_min"": 120}}"
u_044,Joanne Chen,Math,4,"[""ME163"", ""CS221"", ""ME453"", ""Bio181"", ""Economics220""]","{""Indoor Sports Complex"": {""days"": [""Thu"", ""Sun"", ""Sat""], ""usual_time"": ""17:00"", ""duration_min"": 60}, ""Student Center"": {""days"": [""Wed"", ""Sat""], ""usual_time"": ""14:00"", ""duration_min"": 45}}"
u_045,Angela Nguyen,ME,1,"[""Economics360"", ""EE180"", ""CS379"", ""Economics301""]","{""Gymnasium"": {""days"": [""Sun"", ""Thu"", ""Sat""], ""usual_time"": ""08:00"", ""duration_min"": 45}, ""Main Library"": {""days"": [""Sat"", ""Fri"", ""Tue"", ""Sun""], ""usual_time"": ""19:00"", ""duration_min"": 120}, ""Indoor Sports Complex"": {""days"": [""Sat"", ""Tue"", ""Thu"", ""Sun""], ""usual_time"": ""07:00"", ""duration_min"": 60}}"
u_046,Jesse Dyer,Chemistry,4,"[""Economics495"", ""Bio308"", ""Bio350"", ""Chemistry274"", ""Economics126"", ""ME453""]","{""Computer Lab B"": {""days"": [""Sat"", ""Mon"", ""Fri"", ""Tue"", ""Wed""], ""usual_time"": ""10:00"", ""duration_min"": 90}, ""Main Library"": {""days"": [""Wed"", ""Mon"", ""Fri"", ""Sun""], ""usual_time"": ""21:00"", ""duration_min"": 60}, ""Gymnasium"": {""days"": [""Mon"", ""Sat"", ""Wed"", ""Tue""], ""usual_time"": ""06:00"", ""duration_min"": 60}, ""Central Cafeteria"": {""days"": [""Mon"", ""Wed""], ""usual_time"": ""08:30"", ""duration_min"": 60}}"
u_047,Mary Bruce,EE,4,"[""CE153"", ""CE445"", ""Chemistry213"", ""CS491"", ""Economics126"", ""Bio181""]","{""Central Cafeteria"": {""days"": [""Sun"", ""Wed"", ""Fri"", ""Tue"", ""Mon""], ""usual_time"": ""12:30"", ""duration_min"": 60}, ""Computer Lab A"": {""days"": [""Sun"", ""Thu""], ""usual_time"": ""15:00"", ""duration_min"": 45}, ""Student Center"": {""days"": [""Tue"", ""Mon"", ""Thu""], ""usual_time"": ""11:00"", ""duration_min"": 45}}"
u_048,Kristen Oconnell DDS,MBA,4,"[""CE107"", ""CS221"", ""CE410"", ""ME481"", ""Bio308""]","{""Indoor Sports Complex"": {""days"": [""Mon"", ""Thu"", ""Sun""], ""usual_time"": ""07:00"", ""duration_min"": 60}, ""Student Center"": {""days"": [""Fri"", ""Wed"", ""Tue"", ""Thu"", ""Sun""], ""usual_time"": ""16:00"", ""duration_min"": 60}, ""Gymnasium"": {""days"": [""Sat"", ""Mon"", ""Tue"", ""Thu"", ""Fri""], ""usual_time"": ""20:00"", ""duration_min"": 45}, ""Main Library"": {""days"": [""Fri"", ""Wed""], ""usual_time"": ""21:00"", ""duration_min"": 90}, ""Science Library"": {""days"": [""Wed"", ""Sat"", ""Fri"", ""Sun"", ""Tue""], ""usual_time"": ""19:00"", ""duration_min"": 120}}"
